"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"SURAT","Surat","GUJARAT","SURAT","GUJARAT REGION",4591246,1,21.3,73.04,false
"SURENDRANAGAR","Surendranagar","GUJARAT","SURENDRANAGAR","SAURASHTRA & KUTCH",179628,3,22.6,71.57,false
"SURGUJA","Surguja","CHHATTISGARH","SURGUJA","CHHATTISGARH",121071,3,23.07,83.29,true
"SURYAPET","Suryapet","TELANGANA","SURYAPET","TELANGANA",111729,3,17.08,79.72,true
"SVP","Shivpuri","MADHYA PRADESH","SHIVPURI","WEST MADHYA PRADESH",179977,3,25.33,77.65,true
"SWEST-GARO","Dhubri","ASSAM","DHUBRI","ASSAM & MEGHALAYA",63388,3,25.5,89.7,false
"SWEST-KHASI","South West Khasi Hills","MEGHALAYA","SOUTH WEST KHASI HILLS","ASSAM & MEGHALAYA",,,25.31,91.21,true
"S_P_Stadium","Navrangpura","GUJARAT","AHMEDABAD","GUJARAT REGION",6357693,0,23.043,72.563,true
"TAMENGLONG","Tamenglong","MANIPUR","TAMENGLONG","NMMT",19363,3,25.1,93.56,false
"TAN","Udalguri","ASSAM","UDALGURI","ASSAM & MEGHALAYA",17183,3,26.65,91.92,true
"TAPI","Tapi","GUJARAT","TAPI","GUJARAT REGION",39789,3,21.29,73.6,true
"TAPOVAN","Tapovan","UTTARAKHAND","CHAMOLI","UTTARAKHAND",,,30.49,79.63,true
"TARAN","Tarn Taran","PUNJAB","TARN TARAN","PUNJAB",66847,3,31.33,74.9,true
"TAWANG","Tawang","ARUNACHAL PRADESH","TAWANG","ARUNACHAL PRADESH",,,27.66,92.01,true
"TEHRI-GARHWAL","Garhwal Tehri","UTTARAKHAND","GARHWAL TEHRI","UTTARAKHAND",27611,3,30.37,78.49,true
"TEN","Tenkasi","TAMILNADU","TENKASI","TAMILNADU, PUDUCHERRY & KARAIKAL",90364,3,8.95,77.31,true
"TENGNOUPAL","Chandel","MANIPUR","CHANDEL","NMMT",16847,3,24.48,94.23,false
"TEZ","Sonitpur","ASSAM","SONITPUR","ASSAM & MEGHALAYA",75540,3,26.72,92.8,false
"THAMBARAM","Thambaram","TAMILNADU","CHENGALPATTU","TAMILNADU, PUDUCHERRY & KARAIKAL",174787,3,12.92,80.12,true
