"code","station","state","district","subdivision","lat","lon","canonical"
"BHANDARA","Bhandara","MAHARASHTRA","BHANDARA","VIDARBHA",21.12,79.77,true
"BHARATPUR","Bharatpur","RAJASTHAN","BHARATPUR","EAST RAJASTHAN",27.06,77.32,false
"BHATINDA","Bhatinda","PUNJAB","BHATINDA","PUNJAB",30.18,75,false
"BHATWARI","Bhatwari","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",30.81,78.61,true
"BHAVNAGAR","Bhavnagar","GUJARAT","BHAVNAGAR","SAURASHTRA & KUTCH",21.67,71.95,false
"BHILWARA","Bhilwara","RAJASTHAN","BHILWARA","EAST RAJASTHAN",25.49,74.74,false
"BHIND","Bhind","MADHYA PRADESH","BHIND","WEST MADHYA PRADESH",26.35,78.68,false
"BHIWANI","Bhiwani","HARYANA","BHIWANI","DELHI, HARYANA AND CHANDIGARH",28.73,75.98,true
"BHJ","Bhuj","GUJARAT","KUTCH","SAURASHTRA & KUTCH",23.25,69.67,true
"BHOJPUR","Bhojpur","BIHAR","BHOJPUR","BIHAR",25.45,84.57,true
"BHOPAL","Bhopal","MADHYA PRADESH","BHOPAL","WEST MADHYA PRADESH",23.49,77.41,false
"BHP","Bhopal","MADHYA PRADESH","BHOPAL","WEST MADHYA PRADESH",23.28,77.35,true
"BHU","Bhavnagar","GUJARAT","BHAVNAGAR","SAURASHTRA & KUTCH",21.75,72.2,true
"BHUNTAR","KULLU-MANALI","HIMACHAL PRADESH","KULLU","HIMACHAL PRADESH",31.87,77.15,true
"BID","Beed","MAHARASHTRA","BEED","MARATHWADA",18.94,75.77,false
"BIDAR","Bidar","KARNATAKA","BIDAR","NORTHERN INTERIOR KARNATAKA",18.03,77.18,true
"BIJAPUR","Vijayapura","KARNATAKA","VIJAYAPURA","NORTHERN INTERIOR KARNATAKA",16.81,75.9,false
"BIJNORE","Bijnor","UTTAR PRADESH","BIJNOR","WEST UTTAR PRADESH",29.41,78.46,false
"BIKANER","Bikaner","RAJASTHAN","BIKANER","WEST RAJASTHAN",28.12,73.13,false
"BIL","Bilaspur","HIMACHAL PRADESH","BILASPUR","HIMACHAL PRADESH",31.25,76.67,true
